Sub,Type,ID,Position,RT,ACC
1,2,54,1,0.583809838,1
1,1,25,1,0.317116909,1
1,2,34,1,0.383871653,1
1,1,17,1,0.450455874,1
1,1,33,1,0.533782957,1
1,1,30,1,0.383790733,1
1,1,26,1,0.500439729,1
1,1,32,1,0.400465702,1
1,2,63,1,0.383927704,1
1,1,3,1,0.367047476,1
1,2,42,1,0.450675738,1
1,2,43,1,0.350353954,1
1,1,19,1,0.367177737,1
1,2,51,1,0.36723892,1
1,1,18,1,0.517193644,1
1,2,52,1,0.317136645,1
2,2,52,1,0.417126856,1
2,1,23,1,0.517096935,1
2,1,19,1,0.517240222,1
2,2,53,1,0.567162895,1
2,1,18,1,0.517133251,1
2,2,51,1,0.500641436,1
2,1,3,1,0.750590319,1
2,2,43,1,0.533811772,1
2,1,16,1,0.533783746,1
2,2,42,1,0.699939764,1
2,1,2,1,0.733716406,1
2,2,37,1,0.650411427,1
2,2,54,1,1.38411007,1
2,1,17,1,0.567155395,1
2,2,34,1,0.583911678,1
2,1,33,1,0.583934178,1
2,2,48,1,0.467154526,1
2,1,25,1,0.600482834,1
2,2,62,1,0.700437913,1
2,1,30,1,0.500513938,1
2,1,26,1,0.567258419,1
2,2,63,1,0.483810154,1
2,2,57,1,0.500546701,1
2,1,32,1,0.417448956,1
3,1,23,1,0.850445137,1
3,2,52,1,0.683819785,1
3,2,53,1,0.683700182,1
3,1,18,1,0.717097883,1
3,1,19,1,0.817177302,1
3,2,51,1,0.783726708,1
3,1,25,1,1.067230394,1
3,2,34,1,1.217219854,1
3,1,17,1,0.700383046,1
3,1,33,1,0.68388531,1
3,2,48,1,0.650446558,1
3,2,54,1,0.667115606,1
3,1,3,1,0.983689367,1
3,2,43,1,0.700478571,1
3,2,42,1,0.867124053,1
3,2,37,1,0.584016677,1
3,1,2,1,0.567003424,1
3,1,32,1,0.55048911,1
3,2,63,1,0.634030137,1
3,2,57,1,0.700514491,1
3,2,62,1,0.600587437,1
3,1,30,1,0.917098435,1
3,1,26,1,0.517042068,1
4,1,33,1,0.617372141,1
4,1,25,1,1.01758048,1
4,2,34,1,0.73371759,1
4,1,17,1,0.450560477,1
4,2,54,1,0.417285537,1
4,2,48,1,0.533677564,1
4,2,37,1,0.517100093,1
4,2,42,1,0.400517017,1
4,1,3,1,0.467154921,1
4,2,43,1,0.650459979,1
4,1,2,1,0.617119119,1
4,2,53,1,0.383401529,1
4,1,23,1,0.433792746,1
4,2,51,1,0.383821127,1
4,1,18,1,0.350501189,1
4,2,52,1,0.433447358,1
4,1,19,1,0.666789559,1
4,1,26,1,0.767260551,1
4,1,30,1,0.867335629,1
4,2,63,1,0.450532846,1
4,2,57,1,0.466839927,1
4,2,62,1,0.517145882,1
4,1,32,1,0.433788799,1
5,1,2,1,0.483649499,1
5,1,3,1,0.516524182,1
5,2,42,1,0.650371954,1
5,2,43,1,0.650401953,1
5,1,19,1,0.883840864,1
5,2,52,1,0.617093462,1
5,2,53,1,0.750368086,1
5,1,18,1,0.633526067,1
5,1,23,1,0.817359273,1
5,2,51,1,0.600177707,1
5,1,25,1,0.583858785,1
5,1,17,1,0.583826811,1
5,2,34,1,0.550698317,1
5,2,54,1,0.700475018,1
5,1,33,1,0.717214723,1
5,2,48,1,0.533867824,1
5,1,30,1,0.817463087,1
5,2,57,1,0.517101277,1
5,2,63,1,0.566933162,1
5,1,26,1,0.533752563,1
5,2,62,1,1.033784141,1
5,1,32,1,0.667207578,1
6,1,34,1,0.484029229,1
6,1,48,1,0.584142595,1
6,2,17,1,0.517141935,1
6,2,25,1,0.516772073,1
6,2,33,1,0.867217999,1
6,1,54,1,0.616873202,1
6,1,53,1,0.383806522,1
6,2,18,1,0.517026279,1
6,2,19,1,0.400499649,1
6,2,23,1,0.350646054,1
6,2,3,1,0.483718182,1
6,2,2,1,0.333911876,1
6,1,42,1,0.350475531,1
6,2,16,1,0.583761286,1
6,1,43,1,0.733305886,1
6,2,32,1,0.600592963,1
6,1,57,1,0.417162382,1
6,1,62,1,0.550463452,1
6,2,30,1,0.400493333,1
6,1,63,1,0.417162382,1
7,2,32,1,0.500499728,1
7,1,62,1,0.600445729,1
7,1,63,1,0.533932165,1
7,1,57,1,0.533874534,1
7,2,30,1,0.467147816,1
7,2,26,1,0.516661943,1
7,2,18,1,0.550290166,1
7,1,53,1,0.367301682,1
7,1,52,1,0.533766378,1
7,1,51,1,0.617151092,1
7,1,43,1,0.700471071,1
7,1,37,1,0.617106488,1
7,1,42,1,0.5671625,1
7,2,16,1,0.584002466,1
7,2,3,1,0.517179434,1
7,2,2,1,0.600487176,1
7,2,25,1,0.583831943,1
7,1,54,1,0.516796941,1
7,1,48,1,0.450368244,1
7,1,34,1,0.467371233,1
7,2,33,1,,1
8,2,3,1,0.534369131,1
8,2,16,1,0.467227946,1
8,2,2,1,0.533249677,1
8,1,43,1,0.633603039,1
8,1,37,1,0.516299186,1
8,1,42,1,0.416074111,1
8,2,19,1,0.450657186,1
8,1,51,1,0.417320668,1
8,2,18,1,0.400556885,1
8,1,53,1,0.401696865,1
8,1,52,1,0.982762541,1
8,2,33,1,0.601486237,1
8,2,25,1,0.467321102,1
8,2,17,1,0.568486819,1
8,1,48,1,0.466712429,1
8,1,54,1,0.666696008,1
8,1,34,1,0.517388641,1
8,1,63,1,0.518443754,1
8,2,32,1,0.818679644,1
8,2,26,1,0.582793014,1
8,2,30,1,0.483473055,1
9,1,37,1,0.916808704,1
9,2,16,1,1.099530745,1
9,1,43,1,0.950274693,1
9,2,2,1,1.067245788,1
9,1,42,1,1.183508343,1
9,2,3,1,1.250398875,1
9,1,52,1,0.850598687,1
9,1,51,1,1.349286605,1
9,2,23,1,0.633779878,1
9,2,19,1,0.783781575,1
9,2,18,1,0.700631726,1
9,1,53,1,0.633919218,1
9,2,30,1,0.883775733,1
9,1,57,1,0.700563043,1
9,1,62,1,0.717128672,1
9,2,32,1,1.017113514,1
9,1,63,1,0.683809522,1
9,2,26,1,1.400505965,1
9,1,48,1,1.083786944,1
9,2,25,1,0.483799101,1
9,1,54,1,0.834078057,1
9,2,33,1,0.71717525,1
9,2,17,1,0.80039023,1
9,1,34,1,0.733866798,1
10,1,37,1,1.083902994,1
10,1,43,1,0.449920225,1
10,1,42,1,0.433231835,1
10,2,3,1,0.43384643,1
10,2,16,1,0.367125632,1
10,2,2,1,0.317106251,1
10,1,48,1,0.400509912,1
10,2,33,1,0.383799022,1
10,2,25,1,0.417120935,1
10,1,54,1,0.533790852,1
10,1,63,1,0.51712733,1
10,1,62,1,0.63382843,1
10,1,57,1,0.400091498,1
10,2,30,1,0.383719682,1
10,2,32,1,0.40050557,1
10,2,18,1,0.65053103,1
