Sub,Type,ID,Position,RT,ACC
1,1,1,1,0.233868899,1
2,2,1,1,0.66712455,1
3,1,1,1,0.250608866,1
4,2,1,1,0.333580827,1
5,1,1,1,0.383464027,1
6,2,1,1,0.317048881,1
7,1,1,1,0.366803795,1
8,2,1,1,0.416636075,1
9,1,1,1,0.267213707,1
10,2,1,1,0.667176524,1
11,1,1,1,0.383717837,1
12,2,1,1,0.583681285,1
13,1,1,1,0.200341991,1
15,1,1,1,0.275873353,1
16,2,1,1,0.426859893,1
17,1,1,1,0.188522688,1
18,2,1,1,0.4092685,1
19,1,1,1,0.479999589,1
20,2,1,1,0.483866218,1
21,1,1,1,0.383813679,1
22,2,1,1,0.443649098,1
23,1,1,1,0.570390815,1
24,2,1,1,0.517066539,1
25,1,1,1,0.590346612,1
26,2,1,1,0.567022546,1
27,1,1,1,,1
28,2,1,1,0.483777061,1
29,1,1,1,0.417023831,1
30,2,1,1,0.483749824,1
31,1,1,1,0.20052041,1
32,2,1,1,0.250424728,1
33,1,1,1,0.517016738,1
34,2,1,1,0.250386439,1
35,1,1,1,0.433770508,1
36,2,1,1,0.300121813,1
37,1,1,1,0.433693536,1
38,2,1,1,0.434016029,1
39,1,1,1,0.667058106,1
40,2,1,1,0.383836586,1
41,1,1,1,0.500427491,1
42,2,1,1,0.183710509,1
43,1,1,1,0.500386439,1
44,2,1,1,0.383831454,1
45,1,1,1,0.333653856,1
46,2,1,1,0.33381846,1
1,1,2,1,0.283929726,1
2,2,2,1,0.517371136,1
3,1,2,1,0.267108445,1
4,2,2,1,0.316864148,1
5,1,2,1,0.350192114,1
6,2,2,1,0.317005855,1
7,1,2,1,0.683850307,1
8,2,2,1,0.503307416,1
9,1,2,1,0.250519462,1
10,2,2,1,0.533823875,1
11,1,2,1,0.667205863,1
12,2,2,1,0.70007634,1
13,1,2,1,0.100342702,1
14,2,2,1,0.338959374,1
15,1,2,1,0.393282461,1
16,2,2,1,0.398841003,1
17,1,2,1,0.205326996,1
18,2,2,1,0.358088228,1
19,1,2,1,0.872933112,1
20,2,2,1,0.4519251,1
21,1,2,1,1.100853455,1
22,2,2,1,0.33374162,1
23,1,2,1,0.47696705,1
24,2,2,1,0.433121532,1
25,1,2,1,0.430159445,1
26,2,2,1,0.600099315,1
27,1,2,1,0.400521752,1
28,2,2,1,0.433645379,1
29,1,2,1,0.58322248,1
30,2,2,1,0.383551197,1
31,1,2,1,0.333895953,1
32,2,2,1,0.266996212,1
33,1,2,1,0.317108552,1
34,2,2,1,0.250436175,1
35,1,2,1,0.518420787,1
36,2,2,1,0.317147235,1
37,1,2,1,0.383765929,1
38,2,2,1,0.350329677,1
39,1,2,1,0.667165472,1
40,2,2,1,0.433691168,1
41,1,2,1,0.617219313,1
42,2,2,1,0.167067579,1
43,1,2,1,0.36733181,1
44,2,2,1,0.700410675,1
45,1,2,1,0.334478059,1
46,2,2,1,0.283740678,1
1,1,3,1,0.400538723,1
2,2,3,1,0.634463673,1
